"All Websites","Tous les sites web"
"Apply Percent Discounts To FPT","Appliquer les remises en pourcentage à la DEEE"
"Apply Tax To FPT","Appliquer la TVA à la DEEE"
"Display Prices In Emails","Afficher les prix dans les emails"
"Display Prices In Product Lists","Afficher les prix dans les listes de produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de ventes"
"Display Prices On Product View Page","Afficher les prix sur la page du produit"
"Enable FPT","Activer DEEE"
"Excluding FPT","Sans DEEE"
"Excluding FPT, FPT description, final price","Sans DEEE, description DEEE, prix final"
"Fixed Product Tax","Taxe produit de type DEEE"
"Fixed Product Taxes","Taxes fixes de produit (ex. DEEE)"
"Include FPT In Subtotal","Inclure la DEEE au sous-total"
"Including FPT and FPT description [excl. FPT VAT]","Hors DEEE [hors DEEE]"
"Including FPT and FPT description [incl. FPT VAT]","DEEE incluse [DEEE incluse]"
"Including FPT only","DEEE incluse uniquement"
"Total","Total"
"Total incl. tax","Total TTC"
