"Add Recipient","Ajouter destinataire"
"Allow for Guests","Autoriser pour les invités"
"Email Address","Adresse e-mail"
"Email Address:","Adresse e-mail :"
"Email templates","Gabarits d'email"
"Email to a Friend","Envoyer à un(e) ami(e)"
"Email:","Adresse e-mail :"
"Enabled","Activé"
"Limit Sending By","Limiter l'envoi par"
"Link to a friend was sent.","Le lien a été envoyé à un(e) ami(e)."
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Max Recipients","Nombre maxi de destinataires"
"Maximum %d email addresses allowed.","%d adresses mail maxi autorisées"
"Message:","Message :"
"Name","Nom"
"Name:","Nom :"
"Recipient:","Destinataire :"
"Remove Email","Supprimer email"
"Select email template","Sélectionner le gabarit de mail"
"Send email","Envoyer l'email"
"Send product to a friend","Envoyer le produit à un(e) ami(e)"
"Sender:","Expéditeur :"
"Some emails was not sent","Certains mails n'ont pas été envoyés"
"Some problems with data.","Problèmes avec les données."
"You cannot email this product to a friend","Il est nécessaire d'être connecté pour utiliser cette fonctionnalité."
"You cannot send more than %d times in an hour","Vous ne pouvez pas faire plus de %d envois en une heure"
