"Social Bookmarking","Réseaux sociaux"
"Bookmark Manager","Gestion des réseaux sociaux"
"Add Bookmark","Ajouter un réseau"
"Save","Sauvegarder"
"Delete","Supprimer"
"Edit Bookmark '%s'","Editer le réseau '%s'"
"Add Bookmark","Ajouter un réseau social"
"ID","ID"
"Image","Image"
"Title","Nom"
"Url","Url"
"Status","Statut"
"Action","Action"
"Edit","Editer"
"Delete","Supprimer"
"Yes","Oui"
"No","Non"
"Open in new window","Ouvrir une nouvelle fenêtre"
"Are you sure?","Confirmer la suppression ?"
"Change status","Modifier le statut"
"Bookmark Information","Informations sur le réseau"
"Bookmark information","Réseau social"
"Enabled","Activé"
"Disabled","Désactivé"
"Bookmark does not exist","Le réseau n'existe pas"
"Bookmark was successfully saved","Le réseau social a été enregistré"
"Unable to find bookmark to save","Impossible de trouver le réseau à enregistrer"
"Bookmark was successfully deleted","Le réseau social a été supprimé"
"Please select bookmark(s)","Merci de sélectionner un réseau"
"Current page URL","URL de la page"
"Current page Meta Title","Contenu de la balise title de la page"
"Current page Short URL (http://bit.ly)","URL raccourci de la page (http://bit.ly)"
